sample_id	baseline_h5ad	donor_export_directory
GSM8700986	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8700987	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8700988	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8700989	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8700990	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8700991	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8700992	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8700993	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8700994	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8700995	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8700996	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8700997	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8700998	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8700999	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8701000	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8701001	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8701002	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8701003	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8701004	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8701005	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8701006	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8701007	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8701008	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8701009	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8701010	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
GSM8701011	[local path omitted; regenerate with the documented workflow]	[local path omitted; regenerate with the documented workflow]
