source_row	gene_id	gene_symbol	feature_type
32854	A1BG	A1BG	Gene Expression
32855	A1BG-AS1	A1BG-AS1	Gene Expression
18024	A1CF	A1CF	Gene Expression
21195	A2M	A2M	Gene Expression
21194	A2M-AS1	A2M-AS1	Gene Expression
21187	A2ML1	A2ML1	Gene Expression
21184	A2ML1-AS1	A2ML1-AS1	Gene Expression
21186	A2ML1-AS2	A2ML1-AS2	Gene Expression
753	A3GALT2	A3GALT2	Gene Expression
35138	A4GALT	A4GALT	Gene Expression
7210	A4GNT	A4GNT	Gene Expression
21793	AAAS	AAAS	Gene Expression
22768	AACS	AACS	Gene Expression
7364	AADAC	AADAC	Gene Expression
7362	AADACL2	AADACL2	Gene Expression
7363	AADACL2-AS1	AADACL2-AS1	Gene Expression
304	AADACL3	AADACL3	Gene Expression
303	AADACL4	AADACL4	Gene Expression
9202	AADAT	AADAT	Gene Expression
25872	AAGAB	AAGAB	Gene Expression
4149	AAK1	AAK1	Gene Expression
20338	AAMDC	AAMDC	Gene Expression
5593	AAMP	AAMP	Gene Expression
29841	AANAT	AANAT	Gene Expression
33370	AAR2	AAR2	Gene Expression
15860	AARD	AARD	Gene Expression
27689	AARS	AARS	Gene Expression
12017	AARS2	AARS2	Gene Expression
29179	AARSD1	AARSD1	Gene Expression
8350	AASDH	AASDH	Gene Expression
20545	AASDHPPT	AASDHPPT	Gene Expression
14182	AASS	AASS	Gene Expression
34289	AATBC	AATBC	Gene Expression
28941	AATF	AATF	Gene Expression
29958	AATK	AATK	Gene Expression
33257	ABALON	ABALON	Gene Expression
26750	ABAT	ABAT	Gene Expression
16979	ABCA1	ABCA1	Gene Expression
29698	ABCA10	ABCA10	Gene Expression
5539	ABCA12	ABCA12	Gene Expression
13554	ABCA13	ABCA13	Gene Expression
17467	ABCA2	ABCA2	Gene Expression
26598	ABCA3	ABCA3	Gene Expression
1490	ABCA4	ABCA4	Gene Expression
29700	ABCA5	ABCA5	Gene Expression
29697	ABCA6	ABCA6	Gene Expression
30906	ABCA7	ABCA7	Gene Expression
29694	ABCA8	ABCA8	Gene Expression
29696	ABCA9	ABCA9	Gene Expression
29695	ABCA9-AS1	ABCA9-AS1	Gene Expression
13818	ABCB1	ABCB1	Gene Expression
3151	ABCB10	ABCB10	Gene Expression
5119	ABCB11	ABCB11	Gene Expression
13817	ABCB4	ABCB4	Gene Expression
13234	ABCB5	ABCB5	Gene Expression
5635	ABCB6	ABCB6	Gene Expression
35870	ABCB7	ABCB7	Gene Expression
14596	ABCB8	ABCB8	Gene Expression
22721	ABCB9	ABCB9	Gene Expression
26877	ABCC1	ABCC1	Gene Expression
11983	ABCC10	ABCC10	Gene Expression
27323	ABCC11	ABCC11	Gene Expression
27321	ABCC12	ABCC12	Gene Expression
18512	ABCC2	ABCC2	Gene Expression
29441	ABCC3	ABCC3	Gene Expression
23475	ABCC4	ABCC4	Gene Expression
7621	ABCC5	ABCC5	Gene Expression
7622	ABCC5-AS1	ABCC5-AS1	Gene Expression
26878	ABCC6	ABCC6	Gene Expression
19322	ABCC8	ABCC8	Gene Expression
21372	ABCC9	ABCC9	Gene Expression
36374	ABCD1	ABCD1	Gene Expression
21525	ABCD2	ABCD2	Gene Expression
1496	ABCD3	ABCD3	Gene Expression
24531	ABCD4	ABCD4	Gene Expression
9004	ABCE1	ABCE1	Gene Expression
11634	ABCF1	ABCF1	Gene Expression
14609	ABCF2	ABCF2	Gene Expression
7632	ABCF3	ABCF3	Gene Expression
34246	ABCG1	ABCG1	Gene Expression
8609	ABCG2	ABCG2	Gene Expression
20748	ABCG4	ABCG4	Gene Expression
3918	ABCG5	ABCG5	Gene Expression
3919	ABCG8	ABCG8	Gene Expression
3730	ABHD1	ABHD1	Gene Expression
6899	ABHD10	ABHD10	Gene Expression
13717	ABHD11	ABHD11	Gene Expression
33216	ABHD12	ABHD12	Gene Expression
24226	ABHD12B	ABHD12B	Gene Expression
23585	ABHD13	ABHD13	Gene Expression
6535	ABHD14A	ABHD14A	Gene Expression
6534	ABHD14B	ABHD14B	Gene Expression
28739	ABHD15	ABHD15	Gene Expression
28740	ABHD15-AS1	ABHD15-AS1	Gene Expression
11703	ABHD16A	ABHD16A	Gene Expression
33825	ABHD16B	ABHD16B	Gene Expression
30953	ABHD17A	ABHD17A	Gene Expression
16681	ABHD17B	ABHD17B	Gene Expression
26115	ABHD17C	ABHD17C	Gene Expression
8887	ABHD18	ABHD18	Gene Expression
26226	ABHD2	ABHD2	Gene Expression
30310	ABHD3	ABHD3	Gene Expression
23924	ABHD4	ABHD4	Gene Expression
6332	ABHD5	ABHD5	Gene Expression
6624	ABHD6	ABHD6	Gene Expression
31545	ABHD8	ABHD8	Gene Expression
17798	ABI1	ABI1	Gene Expression
5447	ABI2	ABI2	Gene Expression
29379	ABI3	ABI3	Gene Expression
6837	ABI3BP	ABI3BP	Gene Expression
17006	ABITRAM	ABITRAM	Gene Expression
17321	ABL1	ABL1	Gene Expression
2544	ABL2	ABL2	Gene Expression
18685	ABLIM1	ABLIM1	Gene Expression
7986	ABLIM2	ABLIM2	Gene Expression
10775	ABLIM3	ABLIM3	Gene Expression
17359	ABO	ABO	Gene Expression
28109	ABR	ABR	Gene Expression
15814	ABRA	ABRA	Gene Expression
12675	ABRACL	ABRACL	Gene Expression
8575	ABRAXAS1	ABRAXAS1	Gene Expression
18798	ABRAXAS2	ABRAXAS2	Gene Expression
11510	ABT1	ABT1	Gene Expression
7096	ABTB1	ABTB1	Gene Expression
19480	ABTB2	ABTB2	Gene Expression
1629	AC000032.1	AC000032.1	Gene Expression
34811	AC000035.1	AC000035.1	Gene Expression
35297	AC000036.1	AC000036.1	Gene Expression
35295	AC000050.1	AC000050.1	Gene Expression
13847	AC000058.1	AC000058.1	Gene Expression
14163	AC000061.1	AC000061.1	Gene Expression
13865	AC000065.1	AC000065.1	Gene Expression
13864	AC000065.2	AC000065.2	Gene Expression
34498	AC000067.1	AC000067.1	Gene Expression
34490	AC000068.1	AC000068.1	Gene Expression
34493	AC000068.2	AC000068.2	Gene Expression
34492	AC000068.3	AC000068.3	Gene Expression
34485	AC000072.1	AC000072.1	Gene Expression
34495	AC000082.1	AC000082.1	Gene Expression
34486	AC000085.1	AC000085.1	Gene Expression
14220	AC000099.1	AC000099.1	Gene Expression
36048	AC000113.1	AC000113.1	Gene Expression
