group	batch	setting	donors	median_retention	min_retention	max_retention	supplied	retained
Early	First	baseline	2	0.994123491276	0.993843522873	0.994403459679	23488	23350
Early	First	strict	2	0.944611123032	0.934672937153	0.954549308912	23488	22188
Early	Second	baseline	9	0.998215627348	0.992910758966	0.99953984907	96417	96189
Early	Second	strict	9	0.978833057243	0.872254656658	0.985832045337	96417	93604
Healthy	First	baseline	4	0.998240200813	0.993974147147	0.999518420419	41673	41572
Healthy	First	strict	4	0.943440851251	0.89415881038	0.969296577947	41673	39129
Healthy	Second	baseline	5	0.997586995174	0.978224782736	0.998431126451	50731	50402
Healthy	Second	strict	5	0.925177544809	0.882531002832	0.978454136597	50731	47039
Late	First	baseline	2	0.996755052889	0.995277547639	0.99823255814	22820	22744
Late	First	strict	2	0.944192019422	0.921872410936	0.966511627907	22820	21517
Late	Second	baseline	4	0.998036151774	0.997346994785	0.998551249547	47334	47239
Late	Second	strict	4	0.975079145259	0.921032009163	0.987323433539	47334	45403
