#Archive/File	Name	Time	Size	Type
Archive	GSE285335_RAW.tar	01/21/2026 10:47:14	1586575360	TAR
File	GSM8700986_L1_barcodes.tsv.gz	12/21/2024 02:30:00	43086	TSV
File	GSM8700986_L1_matrix.mtx.gz	12/21/2024 02:30:00	51387049	MTX
File	GSM8700986_features.tsv.gz	12/25/2024 15:00:20	252981	TSV
File	GSM8700987_L2_barcodes.tsv.gz	12/21/2024 02:30:00	48091	TSV
File	GSM8700987_L2_matrix.mtx.gz	12/21/2024 02:30:01	50091726	MTX
File	GSM8700987_features.tsv.gz	12/25/2024 15:00:20	252981	TSV
File	GSM8700988_L3_barcodes.tsv.gz	12/21/2024 02:30:01	43911	TSV
File	GSM8700988_L3_matrix.mtx.gz	12/21/2024 02:30:01	66375414	MTX
File	GSM8700988_features.tsv.gz	12/25/2024 15:00:20	252981	TSV
File	GSM8700989_L4_barcodes.tsv.gz	12/21/2024 02:30:01	44251	TSV
File	GSM8700989_L4_matrix.mtx.gz	12/21/2024 02:30:02	66096300	MTX
File	GSM8700989_features.tsv.gz	12/25/2024 15:00:20	252981	TSV
File	GSM8700990_L5_barcodes.tsv.gz	12/21/2024 02:30:02	65166	TSV
File	GSM8700990_L5_matrix.mtx.gz	12/21/2024 02:30:03	85853200	MTX
File	GSM8700990_features.tsv.gz	12/25/2024 15:00:20	252981	TSV
File	GSM8700991_L6_barcodes.tsv.gz	12/21/2024 02:30:03	35771	TSV
File	GSM8700991_L6_matrix.mtx.gz	12/21/2024 02:30:03	56964368	MTX
File	GSM8700991_features.tsv.gz	12/25/2024 15:00:20	252981	TSV
File	GSM8700992_E1_barcodes.tsv.gz	12/21/2024 02:29:51	47203	TSV
File	GSM8700992_E1_matrix.mtx.gz	12/21/2024 02:29:51	56026350	MTX
File	GSM8700992_features.tsv.gz	12/25/2024 15:00:20	252981	TSV
File	GSM8700993_E2_barcodes.tsv.gz	12/21/2024 02:29:51	46813	TSV
File	GSM8700993_E2_matrix.mtx.gz	12/21/2024 02:29:52	54978354	MTX
File	GSM8700993_features.tsv.gz	12/25/2024 15:00:21	252981	TSV
File	GSM8700994_E3_barcodes.tsv.gz	12/21/2024 02:29:52	29627	TSV
File	GSM8700994_E3_matrix.mtx.gz	12/21/2024 02:29:52	42787501	MTX
File	GSM8700994_features.tsv.gz	12/25/2024 15:00:21	252981	TSV
File	GSM8700995_E4_barcodes.tsv.gz	12/21/2024 02:29:52	43717	TSV
File	GSM8700995_E4_matrix.mtx.gz	12/21/2024 02:29:52	60362002	MTX
File	GSM8700995_features.tsv.gz	12/25/2024 15:00:21	252981	TSV
File	GSM8700996_E5_barcodes.tsv.gz	12/21/2024 02:29:52	46657	TSV
File	GSM8700996_E5_matrix.mtx.gz	12/21/2024 02:29:53	72980342	MTX
File	GSM8700996_features.tsv.gz	12/25/2024 15:00:21	252981	TSV
File	GSM8700997_E6_barcodes.tsv.gz	12/21/2024 02:29:53	42911	TSV
File	GSM8700997_E6_matrix.mtx.gz	12/21/2024 02:29:54	65082349	MTX
File	GSM8700997_features.tsv.gz	12/25/2024 15:00:21	252981	TSV
File	GSM8700998_E7_barcodes.tsv.gz	12/21/2024 02:29:54	44492	TSV
File	GSM8700998_E7_matrix.mtx.gz	12/21/2024 02:29:54	67535144	MTX
File	GSM8700998_features.tsv.gz	12/25/2024 15:00:21	252981	TSV
File	GSM8700999_E8_barcodes.tsv.gz	12/21/2024 02:29:54	47480	TSV
File	GSM8700999_E8_matrix.mtx.gz	12/21/2024 02:29:55	77585814	MTX
File	GSM8700999_features.tsv.gz	12/25/2024 15:00:21	252981	TSV
File	GSM8701000_E9_barcodes.tsv.gz	12/21/2024 02:29:55	38526	TSV
File	GSM8701000_E9_matrix.mtx.gz	12/21/2024 02:29:55	64118529	MTX
File	GSM8701000_features.tsv.gz	12/25/2024 15:00:21	252981	TSV
File	GSM8701001_E10_barcodes.tsv.gz	12/21/2024 02:29:49	49796	TSV
File	GSM8701001_E10_matrix.mtx.gz	12/21/2024 02:29:50	84252144	MTX
File	GSM8701001_features.tsv.gz	12/25/2024 15:00:21	252981	TSV
File	GSM8701002_E11_barcodes.tsv.gz	12/21/2024 02:29:50	45443	TSV
File	GSM8701002_E11_matrix.mtx.gz	12/21/2024 02:29:51	67381355	MTX
File	GSM8701002_features.tsv.gz	12/25/2024 15:00:21	252981	TSV
File	GSM8701003_H1_barcodes.tsv.gz	12/21/2024 02:29:55	41472	TSV
File	GSM8701003_H1_matrix.mtx.gz	12/21/2024 02:29:56	45776315	MTX
File	GSM8701003_features.tsv.gz	12/25/2024 15:00:21	252981	TSV
File	GSM8701004_H2_barcodes.tsv.gz	12/21/2024 02:29:56	34370	TSV
File	GSM8701004_H2_matrix.mtx.gz	12/21/2024 02:29:56	36510050	MTX
File	GSM8701004_features.tsv.gz	12/25/2024 15:00:21	252981	TSV
File	GSM8701005_H3_barcodes.tsv.gz	12/21/2024 02:29:56	42410	TSV
File	GSM8701005_H3_matrix.mtx.gz	12/21/2024 02:29:57	47243561	MTX
File	GSM8701005_features.tsv.gz	12/25/2024 15:00:21	252981	TSV
File	GSM8701006_H4_barcodes.tsv.gz	12/21/2024 02:29:57	49759	TSV
File	GSM8701006_H4_matrix.mtx.gz	12/21/2024 02:29:57	52950270	MTX
File	GSM8701006_features.tsv.gz	12/25/2024 15:00:21	252981	TSV
File	GSM8701007_H5_barcodes.tsv.gz	12/21/2024 02:29:57	41359	TSV
File	GSM8701007_H5_matrix.mtx.gz	12/21/2024 02:29:58	63664067	MTX
File	GSM8701007_features.tsv.gz	12/25/2024 15:00:21	252981	TSV
File	GSM8701008_H6_barcodes.tsv.gz	12/21/2024 02:29:58	38677	TSV
File	GSM8701008_H6_matrix.mtx.gz	12/21/2024 02:29:58	53758434	MTX
File	GSM8701008_features.tsv.gz	12/25/2024 15:00:21	252981	TSV
File	GSM8701009_H7_barcodes.tsv.gz	12/21/2024 02:29:58	32326	TSV
File	GSM8701009_H7_matrix.mtx.gz	12/21/2024 02:29:59	51987863	MTX
File	GSM8701009_features.tsv.gz	12/25/2024 15:00:21	252981	TSV
File	GSM8701010_H8_barcodes.tsv.gz	12/21/2024 02:29:59	45072	TSV
File	GSM8701010_H8_matrix.mtx.gz	12/21/2024 02:29:59	68280608	MTX
