sample_id	source_title	group	batch	barcodes_url	barcodes_compressed_bytes	matrix_url	matrix_compressed_bytes	features_url	features_compressed_bytes	supplied_barcodes	barcodes_sha256	feature_rows	unique_feature_ids	duplicate_feature_ids_json	features_sha256	feature_content_sha256	feature_columns_1_and_2_identical	feature_types_json
GSM8700986	Patients-Late_group#1	Late	First	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700986/suppl/GSM8700986_L1_barcodes.tsv.gz	43086	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700986/suppl/GSM8700986_L1_matrix.mtx.gz	51387049	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700986/suppl/GSM8700986_features.tsv.gz	252981	10750	8f7456931873924828e99092c32dd266ef5fc84a68f540b5f1b4ba9fcab93453	36601	36601	{}	079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd	6bacbd038808fc3ccc6d340d24c48b1db76aa0b57a8fb9033e607fe1774a4a97	True	"{""Gene Expression"": 36601}"
GSM8700987	Patients-Late_group#2	Late	First	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700987/suppl/GSM8700987_L2_barcodes.tsv.gz	48091	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700987/suppl/GSM8700987_L2_matrix.mtx.gz	50091726	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700987/suppl/GSM8700987_features.tsv.gz	252981	12070	3dea4b9e3ddf9170443b1b2dcb616568843b5c72fb558c3ac549e94770b3d6cf	36601	36601	{}	079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd	6bacbd038808fc3ccc6d340d24c48b1db76aa0b57a8fb9033e607fe1774a4a97	True	"{""Gene Expression"": 36601}"
GSM8700988	Patients-Late_group#3	Late	Second	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700988/suppl/GSM8700988_L3_barcodes.tsv.gz	43911	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700988/suppl/GSM8700988_L3_matrix.mtx.gz	66375414	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700988/suppl/GSM8700988_features.tsv.gz	252981	10931	1659c8db1df30ad6512703c9d8959532817f93719a7ef11d79ad60b7aaf3ae43	36601	36601	{}	079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd	6bacbd038808fc3ccc6d340d24c48b1db76aa0b57a8fb9033e607fe1774a4a97	True	"{""Gene Expression"": 36601}"
GSM8700989	Patients-Late_group#4	Late	Second	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700989/suppl/GSM8700989_L4_barcodes.tsv.gz	44251	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700989/suppl/GSM8700989_L4_matrix.mtx.gz	66096300	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700989/suppl/GSM8700989_features.tsv.gz	252981	11044	8fe961f08702b800970a6093d42cbfe74b6e477e6613a5448df15597755c1095	36601	36601	{}	079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd	6bacbd038808fc3ccc6d340d24c48b1db76aa0b57a8fb9033e607fe1774a4a97	True	"{""Gene Expression"": 36601}"
GSM8700990	Patients-Late_group#5	Late	Second	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700990/suppl/GSM8700990_L5_barcodes.tsv.gz	65166	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700990/suppl/GSM8700990_L5_matrix.mtx.gz	85853200	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700990/suppl/GSM8700990_features.tsv.gz	252981	16589	69bf31162b6d4fefcec34ffffd1839c982835e3e8ef24e650a34179d8748d52c	36601	36601	{}	079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd	6bacbd038808fc3ccc6d340d24c48b1db76aa0b57a8fb9033e607fe1774a4a97	True	"{""Gene Expression"": 36601}"
GSM8700991	Patients-Late_group#6	Late	Second	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700991/suppl/GSM8700991_L6_barcodes.tsv.gz	35771	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700991/suppl/GSM8700991_L6_matrix.mtx.gz	56964368	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700991/suppl/GSM8700991_features.tsv.gz	252981	8770	ce5435d8e28aae7be4ed44877839cc37838e22c8e8118f444073cb46161a9343	36601	36601	{}	079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd	6bacbd038808fc3ccc6d340d24c48b1db76aa0b57a8fb9033e607fe1774a4a97	True	"{""Gene Expression"": 36601}"
GSM8700992	Patients-Early_group#1	Early	First	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700992/suppl/GSM8700992_E1_barcodes.tsv.gz	47203	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700992/suppl/GSM8700992_E1_matrix.mtx.gz	56026350	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700992/suppl/GSM8700992_features.tsv.gz	252981	11793	ddb44c4e6fd82279562ce5c0ebe1a8aba407ef9bfe817cd3b918de6cf978d0da	36601	36601	{}	079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd	6bacbd038808fc3ccc6d340d24c48b1db76aa0b57a8fb9033e607fe1774a4a97	True	"{""Gene Expression"": 36601}"
GSM8700993	Patients-Early_group#2	Early	First	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700993/suppl/GSM8700993_E2_barcodes.tsv.gz	46813	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700993/suppl/GSM8700993_E2_matrix.mtx.gz	54978354	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700993/suppl/GSM8700993_features.tsv.gz	252981	11695	954524629971b8aa8ba52694e71a532faae793aaf6d73acf683cd2f6a107007b	36601	36601	{}	079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd	6bacbd038808fc3ccc6d340d24c48b1db76aa0b57a8fb9033e607fe1774a4a97	True	"{""Gene Expression"": 36601}"
GSM8700994	Patients-Early_group#3	Early	Second	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700994/suppl/GSM8700994_E3_barcodes.tsv.gz	29627	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700994/suppl/GSM8700994_E3_matrix.mtx.gz	42787501	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700994/suppl/GSM8700994_features.tsv.gz	252981	7194	063772c0c6c345dff2d77f33afaee5d1e06b721d447543ceec1d22ef47fa388d	36601	36601	{}	079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd	6bacbd038808fc3ccc6d340d24c48b1db76aa0b57a8fb9033e607fe1774a4a97	True	"{""Gene Expression"": 36601}"
GSM8700995	Patients-Early_group#4	Early	Second	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700995/suppl/GSM8700995_E4_barcodes.tsv.gz	43717	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700995/suppl/GSM8700995_E4_matrix.mtx.gz	60362002	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8700nnn/GSM8700995/suppl/GSM8700995_features.tsv.gz	252981	10866	603275655ce8ac95899751446736904c3dd5057eaf3fd8224a0fabbb86aa54ef	36601	36601	{}	079bb5504d1d1f55c5e4cfc24d02fb8a09d883b35efba22842ec8dc4091056bd	6bacbd038808fc3ccc6d340d24c48b1db76aa0b57a8fb9033e607fe1774a4a97	True	"{""Gene Expression"": 36601}"
